epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1437.69,2.41301,2.87109,3.19633,0.74547,0.70042,0.75986,0.40546,1.57142,3.25224,2.55747,0.000222875,0.000222875,0.000222875
85,1455.59,2.49856,2.77407,3.0564,0.74547,0.70042,0.75986,0.40546,1.57142,3.25224,2.55747,0.0002105,0.0002105,0.0002105
86,1473.34,2.3147,2.8111,3.09399,0.74294,0.66477,0.75986,0.42421,1.53365,3.17905,2.52821,0.000198125,0.000198125,0.000198125
87,1489.67,2.5519,2.88976,3.17085,0.74294,0.66477,0.75986,0.42421,1.53365,3.17905,2.52821,0.00018575,0.00018575,0.00018575
88,1506.44,2.35563,2.81556,3.13944,0.63273,0.71556,0.76677,0.41575,1.48369,3.05641,2.50251,0.000173375,0.000173375,0.000173375
89,1523.6,2.37971,2.79545,3.23093,0.63273,0.71556,0.76677,0.41575,1.48369,3.05641,2.50251,0.000161,0.000161,0.000161
90,1539.45,2.22484,2.52767,3.05838,0.61809,0.71742,0.76677,0.43852,1.46302,2.97437,2.48936,0.000148625,0.000148625,0.000148625
91,1555.89,2.16114,3.25767,3.10653,0.61809,0.71742,0.76677,0.43852,1.46302,2.97437,2.48936,0.00013625,0.00013625,0.00013625
92,1573.39,2.15691,3.24399,3.15676,0.64644,0.72134,0.76677,0.43742,1.43901,2.91885,2.49464,0.000123875,0.000123875,0.000123875
93,1589.23,1.9435,3.28931,3.01076,0.64644,0.72134,0.76677,0.43742,1.43901,2.91885,2.49464,0.0001115,0.0001115,0.0001115
94,1606.24,2.1461,3.15112,3.10072,0.65562,0.72151,0.80812,0.4629,1.42806,2.92382,2.51272,9.9125e-05,9.9125e-05,9.9125e-05
95,1622.26,1.95187,3.20267,2.98122,0.65562,0.72151,0.80812,0.4629,1.42806,2.92382,2.51272,8.675e-05,8.675e-05,8.675e-05
96,1637.95,1.94034,3.01803,2.92279,0.66935,0.73646,0.89083,0.48102,1.45139,2.9253,2.54743,7.4375e-05,7.4375e-05,7.4375e-05
97,1654.48,1.85024,2.99416,2.9359,0.66935,0.73646,0.89083,0.48102,1.45139,2.9253,2.54743,6.2e-05,6.2e-05,6.2e-05
98,1670.66,1.86469,3.06151,2.87385,0.689,0.74506,0.95333,0.52155,1.46112,2.93844,2.57273,4.9625e-05,4.9625e-05,4.9625e-05
99,1686.69,1.76843,2.99206,2.81308,0.689,0.74506,0.95333,0.52155,1.46112,2.93844,2.57273,3.725e-05,3.725e-05,3.725e-05
100,1702.92,1.71427,3.0645,2.83004,0.57243,0.75,0.95333,0.52421,1.46502,2.93357,2.58321,2.4875e-05,2.4875e-05,2.4875e-05
